case_name,court,year,section,act,summary,significance
Bachan Singh v. State of Punjab,Supreme Court of India,1980,302,Indian Penal Code,"The petitioner challenged the constitutional validity of the death penalty under Section 302 IPC. The Supreme Court held that the death penalty is constitutional but should only be imposed in exceptional cases where life imprisonment is inadequate. The Court introduced the 'rarest of rare' doctrine, requiring judges to balance aggravating and mitigating circumstances before awarding capital punishment.","Established the 'rarest of rare' doctrine, guiding courts on when death penalty should be applied."
Machhi Singh v. State of Punjab,Supreme Court of India,1983,302,Indian Penal Code,"This case expanded on the 'rarest of rare' doctrine laid down in Bachan Singh. The Court identified specific categories such as manner of commission, motive, magnitude, and victim profile to determine when death penalty is justified. It emphasized that collective conscience of society must be considered in such decisions.","Provided structured guidelines for applying death penalty under Section 302 IPC."
K.M. Nanavati v. State of Maharashtra,Supreme Court of India,1962,302,Indian Penal Code,"Commander Nanavati was tried for murdering his wife's lover. The case revolved around whether the act was premeditated or a result of grave and sudden provocation. The Supreme Court upheld his conviction, rejecting the provocation defense. The case gained massive public attention and exposed flaws in jury trials.","Led to abolition of the jury system in India and clarified provocation doctrine."
Maneka Gandhi v. Union of India,Supreme Court of India,1978,21,Constitution of India,"The petitioner’s passport was impounded without giving reasons, raising questions about personal liberty under Article 21. The Supreme Court expanded the interpretation of 'procedure established by law' to include fairness, reasonableness, and non-arbitrariness. It held that laws affecting life and liberty must pass tests under Articles 14, 19, and 21.","Revolutionized constitutional law by introducing due process in India."
Kesavananda Bharati v. State of Kerala,Supreme Court of India,1973,368,Constitution of India,"A 13-judge bench examined Parliament’s power to amend the Constitution. The Court ruled that while Parliament can amend any part of the Constitution, it cannot alter its 'basic structure'. This includes principles like democracy, rule of law, and separation of powers.","Established the Basic Structure Doctrine, limiting Parliament’s amending power."
Indira Sawhney v. Union of India,Supreme Court of India,1992,16,Constitution of India,"This case dealt with the validity of reservations for Other Backward Classes (OBCs). The Supreme Court upheld 27% reservation but imposed a 50% cap on total reservations. It also introduced the concept of the 'creamy layer' to exclude economically advanced individuals from benefits.","Defined the modern framework of reservation policy in India."
Shreya Singhal v. Union of India,Supreme Court of India,2015,66A,Information Technology Act,"Section 66A of the IT Act criminalized online speech that caused annoyance or inconvenience. The Court found the provision vague and unconstitutional as it violated freedom of speech under Article 19(1)(a). It struck down the section entirely.","Strengthened digital free speech and struck down vague cyber laws."
Navtej Singh Johar v. Union of India,Supreme Court of India,2018,377,Indian Penal Code,"The Court examined the constitutionality of Section 377 IPC, which criminalized homosexual acts. It held that consensual same-sex relations between adults are protected under fundamental rights including dignity, privacy, and equality. The judgment emphasized inclusivity and constitutional morality.","Decriminalized homosexuality and advanced LGBTQ rights in India."
Joseph Shine v. Union of India,Supreme Court of India,2018,497,Indian Penal Code,"Section 497 IPC treated adultery as a criminal offense applicable only to men. The Court held that the law was discriminatory and violated women's dignity and equality. It struck down the provision, stating that adultery is a civil matter, not criminal.","Decriminalized adultery and reinforced gender equality."
Justice K.S. Puttaswamy v. Union of India,Supreme Court of India,2017,21,Constitution of India,"A nine-judge bench considered whether the right to privacy is a fundamental right. The Court unanimously held that privacy is intrinsic to life and liberty under Article 21. It includes bodily autonomy, informational privacy, and decisional freedom.","Established right to privacy as a fundamental right."
